KHOI,CAP0,PRODUCT_CODE,CAP1,CAP2,CAP3,CAP4,CAP1_VN,CAP2_VN,CAP3_VN,CAP4_VN,TRANSACTION_DATE,SPKHCN,KHOI_CAP1,SP_KHCN
CIB,DU_NO,53212,CHO VAY DAU TU TSCD VA DU AN,CHO VAY MUA PHUONG TIEN VAN TAI,"CHO VAY MUA TAU BAY, TAU THUY",CHO VAY TDH DAU TU TSCD THONG THUONG,,Cho vay mua phương tiện vận tải,"Cho vay mua tàu bay, tàu thủy",Cho vay TDH đầu tư TSCĐ thông thường,2021-01-01 00:00:00.0000000,,,
TCKT,,61171,BAO HIEM,,,,Bảo hiểm,MBAL,Mô hình IC/IRM MBAL 10,Mô hình IC/IRM MBAL 10,2023-07-26 00:00:00.0000000,,,
SME,DU_NO,53212,CHO VAY DAU TU TSCD VA DU AN,CHO VAY MUA PHUONG TIEN VAN TAI,"CHO VAY MUA TAU BAY, TAU THUY",CHO VAY TDH DAU TU TSCD THONG THUONG,Cho vay đầu tư TSCĐ và dự án,Cho vay mua phương tiện vận tải,"Cho vay mua tàu bay, tàu thủy",Cho vay TDH đầu tư TSCĐ thông thường,2021-01-01 00:00:00.0000000,,,
TCKT,,12121,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tien gui CKH/Tiet kiem tra lai cuoi ky (qua App MBB) SP SO,2023-07-26 00:00:00.0000000,,,
CIB,HUY_DONG,12121,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI CUOI KY (QUA APP MBB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ (qua app MBB) SP SO,2021-01-01 00:00:00.0000000,,,
NHS,HDV&TT,12121,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI CUOI KY  (QUA APP MBB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ  (qua eMB) SP SO,2022-03-09 00:00:00.0000000,TKTK/TGCKH,NHS,TKTK/TGCKH
SME,HUY_DONG,12121,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI CUOI KY (QUA APP MBB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ (qua app MBB) SP SO,2021-01-01 00:00:00.0000000,,,
CIB,DU_NO,52311,CHO VAY DONG TAI TRO,CHO VAY DONG TAI TRO,CHO VAY DONG TAI TRO,"CHO VAY DONG TAI TRO, UY THAC NGAN HAN (MB DAU MOI)",,Cho vay đồng tài trợ,Cho vay đồng tài trợ,"Cho vay đồng tài trợ, ủy thác ngắn hạn (MB đầu mối)",2021-01-01 00:00:00.0000000,,,
TCKT,,131111,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn SP SO (NHS trả),Tiền gửi CKH/Tiết kiệm số (qua kênh eMB) NHS tra,2023-07-26 00:00:00.0000000,,,
SME,DU_NO,52311,CHO VAY DONG TAI TRO,CHO VAY DONG TAI TRO,CHO VAY DONG TAI TRO,"CHO VAY DONG TAI TRO, UY THAC NGAN HAN (MB DAU MOI)",Cho vay đồng tài trợ,Cho vay đồng tài trợ,Cho vay đồng tài trợ,"Cho vay đồng tài trợ, ủy thác ngắn hạn (MB đầu mối)",2021-01-01 00:00:00.0000000,,,
TOAN_HANG,,12121,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ (qua app MBB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ (qua app MBB) SP SO,2021-01-01 00:00:00.0000000,,,
TCKT,,16513,KIEU HOI,,,,Kiều hối,DS Chiều về ,Chi trả vào tài khoản,Chi trả vào tài khoản,2023-07-26 00:00:00.0000000,,,
TCKT,,12313,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tiết kiệm trung niên,2023-07-26 00:00:00.0000000,,,
INDIV,DU NO,26114,CV THE TD,CHO VAY THE TIN DUNG DANH CHO KHCN,CHO VAY THE TIN DUNG QUOC TE DANH CHO KHCN,CHO VAY THE TIN DUNG DA NANG HYBRID,Cho vay thẻ tín dụng,Cho vay thẻ tín dụng dành cho KHCN,Cho vay thẻ tín dụng quốc tế dành cho KHCN,Cho vay thẻ tín dụng đa năng Hybrid,2022-03-09 00:00:00.0000000,CV THE VISA,NHS,CV THE TD
